@relation unknown

@attribute sentence string
@attribute 'access control' {yes,no}
@attribute audit {yes,no}
@attribute availability {yes,no}
@attribute 'capacity and performance' {yes,no}
@attribute legal {yes,no}
@attribute 'look and feel' {yes,no}
@attribute maintainability {yes,no}
@attribute operational {yes,no}
@attribute privacy {yes,no}
@attribute reliability {yes,no}
@attribute recoverability {yes,no}
@attribute security {yes,no}
@attribute usability {yes,no}
@attribute 'other nonfunctional' {yes,no}
@attribute 'database design' {yes,no}
@attribute functional {yes,no}
@attribute documentID string

@data
'north carolina divis of public health',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'data us agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'revis or or',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'thi data us agreement dua is effect on dai of effect date by and between',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'nc divis of public data and locat at collect hereinaft refer as parti',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'divis of public health is provid recipi with limit data set of protect health inform as defin in code of feder regul cfr',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'north carolina divis of public epidemiolog section data custodian is not cover compon within north carolina divis of health and human servic as defin in health insur portabl and account act of',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipi mai cover entiti as defin by hipaa',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'thi dua shall not constru as creat hipaa liabil for data custodian or recipi if hipaa is not applic data us and disclosur provid for under thi agreement',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'parti agre provis of thi dua in order address requir of hipaa and protect interest of both parti',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
definit,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'except as otherwis defin ani and all capit term in thi dua shall definit set forth in hipaa',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'in event of ani inconsist between provis of thi dua and mandatori provis of as hipaa provis shall control',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'where provis of thi dua ar differ than those provid in but ar permit by provis of thi dua shall control',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'us or disclosur',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'data recipi shall right us all individu identifi health inform iihi provid it by data custodian for public health or health care oper purpos as list below brief but us as much space as necessari',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
purpos,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'public health signifig',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'result of project will us for',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'data request',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'time period',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'data descript',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
variabl,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'estim studi complet date',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'restrict on us',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipi agre that and ani agent and subcontractor whom it disclos will not us or further disclos iihi other than as permit by thi or as otherwis requir by law or regul',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'data recipi shall us appropri safeguard protect iihi from misus or inappropri disclosur and prevent ani us or disclosur of iihi other than as provid in thi dua or as otherwis requir by law or regul',yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,unknown
'recipi shall not attempt identifi individu whom iihi or attempt contact such individu',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
report,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipi shall report data custodian ani us or disclosur of iihi that is not provid for in thi dua of which recipi becom awar',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipi will take reason step limit ani further such us or disclosur',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipi will send data oversight committe dph and nc detect team public possibl and possibl present that been deriv from nc detect data at least two week or insur that institut and person confidenti is maintain',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'all data present in public possibl and possibl present shall present in aggreg form in manner in which individu cannot identifi in hospit name will not disclos',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'for oral or written present or sourc of data must attribut nc public health data group and nc detect',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'materi must includ follow disclaim nc public health data group and nc detect do not take respons for scientif valid or accuraci of statist or conclus present',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
