@relation unknown

@attribute sentence string
@attribute 'access control' {yes,no}
@attribute audit {yes,no}
@attribute availability {yes,no}
@attribute 'capacity and performance' {yes,no}
@attribute legal {yes,no}
@attribute 'look and feel' {yes,no}
@attribute maintainability {yes,no}
@attribute operational {yes,no}
@attribute privacy {yes,no}
@attribute reliability {yes,no}
@attribute recoverability {yes,no}
@attribute security {yes,no}
@attribute usability {yes,no}
@attribute 'other nonfunctional' {yes,no}
@attribute 'database design' {yes,no}
@attribute functional {yes,no}
@attribute documentID string

@data
'North Carolina Division Public Health',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'datum agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'revise 2 3 2010',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'datum agreement dua effective ____ day ________ 20 __ effective date _',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'NC Division Public Health _____________ datum custodian ______________________________________________ Recipient located _____________________________________________ collectively hereinafter refer party',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'division Public Health provide recipient Limited Data Set Protected Health Information phi define 45 Code Federal Regulations cfr § 164.514 e 2',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'North Carolina Division Public Health Epidemiology Section datum custodian Covered component North Carolina Division Health Human Services define Health Insurance Portability Accountability Act 1996',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient covered entity define HIPAA',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'dua construe create HIPAA liability Data Custodian Recipient HIPAA applicable datum disclosure provide agreement',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'party agree provision dua address requirement HIPAA protect party',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
definition,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'except otherwise define herein capitalized term dua definition set forth HIPAA',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'event inconsistency provision dua mandatory provision HIPAA amend HIPAA provision control',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'provision provision dua provide HIPAA permit HIPAA provision dua control',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
disclosure,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'datum recipient individually identifiable Health Information IIHI provide Data Custodian Research Public Health Health Care Operations purpose list below brief space',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
purpose,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'PUBLIC HEALTH SIGNIFIGANCE',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'result PROJECT USED',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA REQUESTED',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'time period',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA DESCRIPTION',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
variable,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'estimate study COMPLETION DATE',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
3,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
restriction,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipient agree employee agent subcontractor whom disclose IIHI disclose IIHI permit dua otherwise require law regulation',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'datum recipient appropriate safeguard protect iihus misuse inappropriate disclosure prevent disclosure IIHI provide dua otherwise require law regulation',yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,unknown
'recipient attempt identify individual whom iihus pertain attempt contact individual',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
4,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
reporting,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipient report datum Custodian disclosure iihus provide dua Recipient aware',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient reasonable step limit disclosure',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient send datum Oversight Committee dph nc detect team copy publication possibly possibly presentation derive NC DETECT datum week presentation publication insure institutional personal confidentiality maintain',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'datum publication possibly possibly presentation aggregate form manner individual identify addition hospital name disclose',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'oral written presentation publication source datum attribute NC Public Health Data Group NC DETECT',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'material include follow disclaimer NC Public Health Data Group NC DETECT responsibility scientific validity accuracy methodology result statistical analysis conclusion',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
5,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'term termination',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DUA termination date ____________________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'a term',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'term term dua effective date write terminate phi phi provide Data Custodian Recipient destroy return Data Custodian infeasible return destroy IIHI protection extend information termination provision section',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'b termination Cause',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient commit material breach dua cure thirty 30 day Recipient receive notice breach Data Custodian Data Custodian Custodian discontinue disclosure iihus report Secretary U. S. Department Health Human Services',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'c effect termination',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'i. except provide provide paragraph ii subsection ten 10 day termination dua recipient return destroy IIHI receive Data Custodian',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'provision apply IIHI possession subcontractor agent Data Recipient',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipient retain copy IIHI',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
ii,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'event Recipient determine return destroy iihus infeasible recipient provide Data Custodian notification condition return destruction infeasible',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'mutual agreement party return destruction IIHI infeasible datum recipient extend protection dua iihus limit disclosure iihus purpose return destruction infeasible recipient maintain IIHI',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA CUSTODIAN NC dph RECIPIENT',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________ _________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'date date',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________ _________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'signature signature',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________ _________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
