@relation unknown

@attribute sentence string
@attribute 'access control' {yes,no}
@attribute audit {yes,no}
@attribute availability {yes,no}
@attribute 'capacity and performance' {yes,no}
@attribute legal {yes,no}
@attribute 'look and feel' {yes,no}
@attribute maintainability {yes,no}
@attribute operational {yes,no}
@attribute privacy {yes,no}
@attribute reliability {yes,no}
@attribute recoverability {yes,no}
@attribute security {yes,no}
@attribute usability {yes,no}
@attribute 'other nonfunctional' {yes,no}
@attribute 'database design' {yes,no}
@attribute functional {yes,no}
@attribute documentID string

@data
'North Carolina Division Public Health',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'datum use agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'revise 2 3 2010',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'datum use agreement dua effective ____ day ________ 20 __ effective date _',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'NC Division Public Health _____________ datum custodian ______________________________________________ Recipient located _____________________________________________ collectively hereinafter refer party',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'division Public Health provide recipient Limited Data Set Protected Health Information phi define 45 Code Federal Regulations cfr § 164.514 e 2',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'North Carolina Division Public Health Epidemiology Section datum custodian Covered component North Carolina Division Health Human Services define Health Insurance Portability Accountability Act 1996',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient covered entity define HIPAA',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'dua construe create HIPAA liability Data Custodian Recipient HIPAA applicable datum use disclosure provide agreement',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'party agree provision dua order address requirement HIPAA protect party',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
definition,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'define capitalized term dua definition set forth HIPAA',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'event inconsistency provision dua mandatory provision HIPAA amend HIPAA provision control',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'provision provision dua different provide HIPAA permit HIPAA provision dua control',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'use disclosure',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'datum recipient right use individually identifiable Health Information IIHI provide Data Custodian Research Public Health Health Care Operations purpose list brief use space necessary',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
purpose,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'PUBLIC HEALTH SIGNIFIGANCE',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'result PROJECT USED',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA REQUESTED',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'time period',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA DESCRIPTION',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
variable,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'estimate study COMPLETION DATE',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
3,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'restriction use',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipient agree employee agent subcontractor disclose IIHI use disclose IIHI permit dua require law regulation',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'datum recipient use appropriate safeguard protect iihus misuse inappropriate disclosure prevent use disclosure IIHI provide dua require law regulation',yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,unknown
'recipient attempt identify individual iihus pertain attempt contact individual',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
4,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
reporting,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipient report datum Custodian use disclosure iihus provide dua Recipient aware',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient reasonable step limit use disclosure',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient send datum Oversight Committee dph nc detect team copy publication possibly possibly presentation derive NC DETECT datum week presentation publication insure institutional personal confidentiality maintain',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'datum present publication possibly possibly presentation present aggregate form manner individual identify addition hospital disclose',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'oral written presentation publication source datum attribute NC Public Health Data Group NC DETECT',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'material include follow disclaimer NC Public Health Data Group NC DETECT responsibility scientific validity accuracy methodology result statistical analysis conclusion present',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
5,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'term termination',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DUA termination date ____________________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
term,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'term term dua effective date write terminate phi phi provide Data Custodian Recipient destroy return Data Custodian infeasible return destroy IIHI protection extend information termination provision section',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'b termination Cause',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient commit material breach dua cure thirty 30 day Recipient receive notice breach Data Custodian Data Custodian Custodian discontinue disclosure iihus report problem Secretary U. S. Department Health Human Services',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'c effect termination',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'i. provide provide paragraph ii subsection 10 day termination dua recipient return destroy IIHI receive Data Custodian',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'provision apply IIHI possession subcontractor agent Data Recipient',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipient retain copy IIHI',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
ii,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'event Recipient determine return destroy iihus infeasible recipient provide Data Custodian notification condition make return destruction infeasible',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'mutual agreement party return destruction IIHI infeasible datum recipient extend protection dua iihus limit use disclosure iihus purpose make return destruction infeasible long recipient maintain IIHI',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA CUSTODIAN NC dph RECIPIENT',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________ _________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'date date',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________ _________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'signature signature',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________ _________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Printed Printed',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'initial ___________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'form cms-r-0235 06 10',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DEPARTMENT HEALTH HUMAN service center MEDICARE MEDICAID service',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'form approve OMB No. 0938-0734',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA USE AGREEMENT',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DUA #',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'AGREEMENT USE CENTERS MEDICARE MEDICAID service CMS DATA CONTAINING INDIVIDUAL IDENTIFIERS',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'CMS agree provide user datum reside CMS Privacy Act System Records identify agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'exchange user agree pay applicable fee user agree use datum purpose support user study research project reference agreement determine CMS provide assistance CMS monitoring managing improve Medicare Medicaid program service provide beneficiary user agree ensure integrity security confidentiality datum comply term agreement applicable law Privacy Act Health Insurance Portability Accountability Act',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'order secure datum reside CMS Privacy Act System Records order ensure integrity security confidentiality information maintain CMS permit appropriate disclosure use datum permit law CMS requestor agreement comply follow specific paragraph',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'U.S. Department Health Human Services HHS requestor',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'agreement Centers Medicare Medicaid Services CMS component hereinafter term user',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'agreement address condition CMS disclose user user user user obtain use reuse disclose CMS datum file s specify section 5 possibly possibly derivative file s contain direct individual identifier element use concert information identify individual',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'agreement supersede agreement party respect use datum file specify section 5 preempt override instruction direction agreement understanding pertain grant award prior communication Department Health Human Services component respect datum specify',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'term agreement change written modification agreement party adopt new agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'party agree instruction interpretation issue user agreement datum specify valid unless issue write CMS point-of-contact CMS signatory agreement section 20',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
3,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'party mutually agree CMS retain ownership rights datum file s refer agreement user obtain right title datum furnish CMS',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
4,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user represent furnish datum file s specify section 5 CMS rely representation datum file s use solely follow purpose s',no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,unknown
'study project',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'CMS Contract no. applicable',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user represent fact statement make study research protocol project plan submit CMS purpose purpose complete accurate',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user represent say study protocol s project plan approve CMS appropriate entity CMS determine represent total use s datum file s specify section 5',no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,unknown
'user agree disclose use reuse datum cover agreement specify attachment agreement CMS CMS authorize write require law sell rent lease loan grant access datum cover agreement',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'user affirm request datum minimum necessary achieve purpose state section',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user agree user organization organization agent access datum cover agreement limit minimum datum minimum number individual necessary achieve purpose state section i.e. individual access datum need-to-know basis',no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,unknown
5,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'follow CMS datum file file s cover agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'file year s Record',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
6,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'party mutually agree aforesaid file s possibly possibly derivative file s file directly identify individual directly identify bidding firm possibly possibly firm proprietary confidential individual retain user hereinafter know Retention Date',no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'user agree notify CMS 30 day completion purpose specify section 4 purpose complete aforementioned retention date',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'notice retention date whichever occur sooner user agree destroy datum',no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'user agree destroy send write certification destruction file CMS 30 day',no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'user agree retain CMS file thereof specific bidding information file use concert information identify aforementioned file s destroy unless appropriate Systems Manager person designate section 20 agreement grant write authorization',no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'user acknowledge date contingent action CMS',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,unknown
'agreement terminate party time reason 30 day write notice',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'notice termination user CMS CMS cease release datum file s user agreement notify user destroy datum file s',no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'section 3 4 6 8 9 10 11 13 14 15 survive termination agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
7,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user agree establish appropriate administrative technical physical safeguard protect confidentiality datum prevent unauthorized use access',no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,unknown
'safeguard provide level scope security level scope security requirement establish Office Management Budget OMB OMB circular a-130 Appendix III security Federal Automated Information Systems http:\\/\\/www.whitehouse.gov\\/omb\\/circulars\\/a130\\/a130.html Federal Information Processing Standard 200 entitle Minimum Security requirement Federal Information Information Systems http:\\/\\/csrc.nist.gov\\/publications\\/fips\\/fips200\\/fips-200-final-march.pdf special publication 800-53 Recommended Security Controls Federal Information Systems http:\\/\\/csrc.nist.gov\\/ publications\\/nistpubs\\/800 -53 rev2\\/sp800 -53 rev2-final',no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,unknown
'user acknowledge use unsecured telecommunications internet transmit individually identifiable bidder identifiable deducible information derive file s specify section 5 prohibit',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'user agree datum physically transmit disclose way site indicate section 17 write approval CMS unless movement transmission disclosure require law',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
8,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
