@relation unknown

@attribute sentence string
@attribute 'access control' {yes,no}
@attribute audit {yes,no}
@attribute availability {yes,no}
@attribute 'capacity and performance' {yes,no}
@attribute legal {yes,no}
@attribute 'look and feel' {yes,no}
@attribute maintainability {yes,no}
@attribute operational {yes,no}
@attribute privacy {yes,no}
@attribute reliability {yes,no}
@attribute recoverability {yes,no}
@attribute security {yes,no}
@attribute usability {yes,no}
@attribute 'other nonfunctional' {yes,no}
@attribute 'database design' {yes,no}
@attribute functional {yes,no}
@attribute documentID string

@data
'North Carolina Division Public Health',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'datum use agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'revise 2 3 2010',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'this datum use agreement dua effective ____ day ________ 20 __ effective date _',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'NC Division Public Health _____________ datum custodian ______________________________________________ Recipient located _____________________________________________ collectively hereinafter refer party',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'division Public Health provide recipient Limited Data Set Protected Health Information phi define 45 Code Federal Regulations cfr § 164.514 e 2',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'North Carolina Division Public Health Epidemiology Section datum custodian not Covered component North Carolina Division Health Human Services define Health Insurance Portability Accountability Act 1996',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient covered entity define HIPAA',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'however this dua not construe create HIPAA liability Data Custodian Recipient if HIPAA not applicable datum use disclosure provide under this agreement',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'party agree provision this dua order address requirement HIPAA protect interest both party',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
definition,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'except otherwise define herein any all capitalized term this dua have definition set forth HIPAA',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'event any inconsistency provision this dua mandatory provision HIPAA amend HIPAA provision control',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'where provision provision this dua different those provide HIPAA permit HIPAA provision this dua control',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'use or disclosure',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'datum recipient have right use all individually identifiable Health Information IIHI provide Data Custodian Research Public Health Health Care Operations purpose list below brief use much space necessary',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
purpose,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'PUBLIC HEALTH SIGNIFIGANCE',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'result PROJECT USED',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA REQUESTED',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'time period',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA DESCRIPTION',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
variable,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'estimate study COMPLETION DATE',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
3,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'restriction use',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipient agree any employee agent subcontractor whom disclose IIHI not use further disclose IIHI other permit this dua otherwise require law regulation',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'datum recipient use appropriate safeguard protect iihus misuse inappropriate disclosure prevent any use disclosure IIHI other provide this dua otherwise require law regulation',yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,unknown
'recipient not attempt identify individual whom iihus pertain attempt contact such individual',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
4,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
reporting,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipient report datum Custodian any use disclosure iihus not provide this dua which Recipient become aware',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient take reasonable step limit any further such use disclosure',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient send datum Oversight Committee dph nc detect team copy any publication possibly possibly presentation have derive NC DETECT datum least two week presentation publication insure institutional personal confidentiality maintain',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'all datum present publication possibly possibly presentation present aggregate form only manner which individual not identify addition hospital name not disclose',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'oral written presentation publication source datum attribute NC Public Health Data Group NC DETECT',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'material include follow disclaimer NC Public Health Data Group NC DETECT do not take responsibility scientific validity accuracy methodology result statistical analysis conclusion present',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
5,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'term termination',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DUA termination date ____________________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
term,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'term term this dua effective date first write above terminate when all phi phi provide Data Custodian Recipient destroy return Data Custodian if infeasible return destroy IIHI protection extend such information termination provision this section',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'b termination Cause',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient commit material breach this dua which not cure thirty 30 day after Recipient receive notice such breach Data Custodian then Data Custodian Custodian discontinue disclosure iihus report problem Secretary U. S. Department Health Human Services',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'c effect termination',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'i. except provide provide paragraph ii this subsection ten 10 day termination this dua recipient return destroy all IIHI receive Data Custodian',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'this provision apply IIHI possession subcontractor agent Data Recipient',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipient retain no copy IIHI',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
ii,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'event Recipient determine return destroy iihus infeasible recipient provide Data Custodian notification condition make return destruction infeasible',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'mutual agreement party return destruction IIHI infeasible datum recipient extend protection this dua such iihus limit further use disclosure such iihus those purpose make return destruction infeasible so long recipient maintain IIHI',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA CUSTODIAN NC dph RECIPIENT',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________ _________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'date date',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________ _________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'signature signature',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________ _________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Printed name Printed name',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'initial ___________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'form cms-r-0235 06 10',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DEPARTMENT HEALTH HUMAN service center MEDICARE MEDICAID service',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'form approve OMB No. 0938-0734',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA USE AGREEMENT',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DUA #',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'AGREEMENT USE CENTERS MEDICARE MEDICAID service CMS DATA CONTAINING INDIVIDUAL IDENTIFIERS',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'CMS agree provide user datum reside CMS Privacy Act System Records identify this agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'exchange user agree pay any applicable fee user agree use datum only purpose support user study research project reference this agreement which which have determine CMS provide assistance CMS monitoring managing improve Medicare Medicaid program service provide beneficiary user agree ensure integrity security confidentiality datum comply term this agreement applicable law Privacy Act Health Insurance Portability Accountability Act',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'order secure datum reside CMS Privacy Act System Records order ensure integrity security confidentiality information maintain CMS permit appropriate disclosure use such datum permit law CMS requestor agreement comply follow specific paragraph',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'U.S. Department Health Human Services HHS requestor',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'this agreement Centers Medicare Medicaid Services CMS component hereinafter term user',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'this agreement address condition which CMS disclose user user user user obtain use reuse disclose CMS datum file s specify section 5 possibly possibly any derivative file s contain direct individual identifier element use concert other information identify individual',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'this agreement supersede any all agreement party respect use datum file specify section 5 preempt override any instruction direction agreement other understanding pertain any grant award other prior communication Department Health Human Services any component respect datum specify herein',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'further term this agreement change only written modification this agreement party adopt new agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'party agree further instruction interpretation issue user this agreement datum specify herein not valid unless issue write CMS point-of-contact CMS signatory this agreement show section 20',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
3,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'party mutually agree CMS retain all ownership rights datum file s refer this agreement user do not obtain any right title interest any datum furnish CMS',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
4,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user represent furnish datum file s specify section 5 CMS rely such representation such datum file s use solely follow purpose s',no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,unknown
'name study project',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'CMS Contract no. if applicable',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user represent further fact statement make any study research protocol project plan submit CMS each purpose purpose complete accurate',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'further user represent say study protocol s project plan have approve CMS other appropriate entity CMS determine represent total use s which datum file s specify section 5 put',no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,unknown
'user agree not disclose use reuse datum cover this agreement except specify attachment this agreement CMS CMS authorize write otherwise require law sell rent lease loan or otherwise grant access datum cover this agreement',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'user affirm request datum minimum necessary achieve purpose state this section',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user agree user organization organization agent access datum cover this agreement limit minimum amount datum minimum number individual necessary achieve purpose state this section i.e. individual access datum need-to-know basis',no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,unknown
5,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'follow CMS datum file file s cover this agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'file year s system Record',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
6,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'party mutually agree aforesaid file s possibly possibly any derivative file s those file directly identify individual directly identify bidding firm possibly possibly such firm proprietary confidential individual retain user until hereinafter know Retention Date',no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'user agree notify CMS 30 day completion purpose specify section 4 if purpose complete aforementioned retention date',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'such notice retention date whichever occur sooner user agree destroy such datum',no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'user agree destroy send write certification destruction file CMS 30 day',no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'user agree not retain CMS file any part thereof specific bidding information those file use concert other information identify aforementioned file s destroy unless appropriate Systems Manager person designate section 20 this agreement grant write authorization',no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'user acknowledge date not contingent action CMS',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,unknown
'agreement terminate either party any time any reason 30 day write notice',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'notice termination user CMS CMS cease release datum file s user this agreement notify user destroy such datum file s',no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'section 3 4 6 8 9 10 11 13 14 15 survive termination this agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
7,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user agree establish appropriate administrative technical physical safeguard protect confidentiality datum prevent unauthorized use access',no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,unknown
'safeguard provide level scope security not less than level scope security requirement establish Office Management Budget OMB OMB circular no a-130 Appendix III security Federal Automated Information Systems http:\\/\\/www.whitehouse.gov\\/omb\\/circulars\\/a130\\/a130.html Federal Information Processing Standard 200 entitle Minimum Security requirement Federal Information Information Systems http:\\/\\/csrc.nist.gov\\/publications\\/fips\\/fips200\\/fips-200-final-march.pdf special publication 800-53 Recommended Security Controls Federal Information Systems http:\\/\\/csrc.nist.gov\\/ publications\\/nistpubs\\/800 -53 rev2\\/sp800 -53 rev2-final',no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,unknown
