@relation unknown

@attribute sentence string
@attribute 'access control' {yes,no}
@attribute audit {yes,no}
@attribute availability {yes,no}
@attribute 'capacity and performance' {yes,no}
@attribute legal {yes,no}
@attribute 'look and feel' {yes,no}
@attribute maintainability {yes,no}
@attribute operational {yes,no}
@attribute privacy {yes,no}
@attribute reliability {yes,no}
@attribute recoverability {yes,no}
@attribute security {yes,no}
@attribute usability {yes,no}
@attribute 'other nonfunctional' {yes,no}
@attribute 'database design' {yes,no}
@attribute functional {yes,no}
@attribute documentID string

@data
'North Carolina Division Public Health',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'datum use agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'revise 2 3 2010',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'this datum use agreement dua be effective ____ day ________ 20 __ effective date _',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'NC Division Public Health _____________ datum custodian ______________________________________________ Recipient located _____________________________________________ collectively hereinafter refer as party',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'division Public Health be provide recipient Limited Data Set Protected Health Information phi as define 45 Code Federal Regulations cfr § 164.514 e 2',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'North Carolina Division Public Health Epidemiology Section datum custodian be not Covered component North Carolina Division Health Human Services as define Health Insurance Portability Accountability Act 1996',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient be covered entity as define HIPAA',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'however this dua not be construe create HIPAA liability Data Custodian Recipient if HIPAA be not applicable datum use disclosure provide for under this agreement',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'party agree provision this dua in order to address requirement HIPAA to protect interest of both party',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
definition,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'except as otherwise define herein any all capitalized term this dua have definition set forth HIPAA',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'event any inconsistency provision this dua mandatory provision HIPAA amend HIPAA provision control',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'where provision provision this dua be different those provide HIPAA be permit HIPAA provision this dua control',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'use or disclosure',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'datum recipient have right to use all individually identifiable Health Information IIHI provide to it Data Custodian Research Public Health Health Care Operations purpose as list below be brief use as much space as necessary',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
purpose,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'PUBLIC HEALTH SIGNIFIGANCE',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'result PROJECT be USED for',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA REQUESTED',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'time period',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA DESCRIPTION',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
variable,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'estimate study COMPLETION DATE',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
3,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'restriction use',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipient agree that it it any employee agent subcontractor whom it disclose IIHI not use further disclose IIHI other as permit this dua as otherwise require law regulation',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'datum recipient use appropriate safeguard to protect iihus misuse inappropriate disclosure to prevent any use disclosure IIHI other as provide this dua as otherwise require law regulation',yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,unknown
'recipient not attempt to identify individual whom iihus pertain attempt to contact such individual',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
4,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
reporting,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipient report datum Custodian any use disclosure iihus that be not provide for this dua which Recipient become aware',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient take reasonable step to limit any further such use disclosure',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient send datum Oversight Committee dph nc detect team copy any publication possibly possibly presentation that have be derive NC DETECT datum at least two week presentation publication to insure that institutional personal confidentiality be maintain',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'all datum present publication possibly possibly presentation be present aggregate form only manner which individual not be identify addition hospital name not be disclose',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'oral written presentation publication source datum be attribute NC Public Health Data Group NC DETECT',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'material include follow disclaimer NC Public Health Data Group NC DETECT do not take responsibility scientific validity accuracy methodology result statistical analysis conclusion present',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
5,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'term and termination',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DUA termination date ____________________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'a term',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'term term this dua be effective date first write above terminate when all phi phi provide Data Custodian Recipient be destroy return Data Custodian if it be infeasible to return destroy IIHI protection be extend such information termination provision this section',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'b termination Cause',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient commit material breach this dua which be not cure thirty 30 day after Recipient receive notice such breach Data Custodian then Data Custodian Custodian discontinue disclosure iihus report problem Secretary U. S. Department Health Human Services',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'c effect termination',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'i. except as provide provide paragraph ii this subsection ten 10 day termination this dua recipient return destroy all IIHI receive Data Custodian',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'this provision apply IIHI that be possession subcontractor agent Data Recipient',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'recipient retain no copy IIHI',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
ii,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'event that Recipient determine that return destroy iihus be infeasible recipient provide Data Custodian notification condition that make return destruction infeasible',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'mutual agreement party that return destruction IIHI be infeasible datum recipient extend protection this dua such iihus limit further use disclosure such iihus those purpose that make return destruction infeasible so long as recipient maintain IIHI',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA CUSTODIAN NC dph RECIPIENT',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________ _________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'date date',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________ _________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'signature signature',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________ _________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Printed name Printed name',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'initial ___________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'form cms-r-0235 06 10',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DEPARTMENT HEALTH HUMAN service center MEDICARE MEDICAID service',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'form approve OMB No. 0938-0734',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA USE AGREEMENT',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DUA #',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'AGREEMENT USE CENTERS MEDICARE MEDICAID service CMS DATA CONTAINING INDIVIDUAL IDENTIFIERS',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'CMS agree to provide user datum that reside CMS Privacy Act System Records as identify this agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'exchange user agree to pay any applicable fee user agree to use datum only purpose that support user study research project reference this agreement which which have be determine CMS to provide assistance CMS monitoring managing improve Medicare Medicaid program service provide beneficiary user agree to ensure integrity security confidentiality datum comply term this agreement applicable law Privacy Act Health Insurance Portability Accountability Act',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'in order to secure datum that reside CMS Privacy Act System Records order to ensure integrity security confidentiality information maintain CMS to permit appropriate disclosure use such datum as permit law CMS requestor agreement to comply follow specific paragraph',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'U.S. Department Health Human Services HHS requestor',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'this agreement be Centers Medicare Medicaid Services CMS component hereinafter term user',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'this agreement address condition which CMS disclose user user user user obtain use reuse disclose CMS datum file s specify section 5 possibly and possibly any derivative file s that contain direct individual identifier element that be use concert other information to identify individual',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'this agreement supersede any all agreement party respect use datum file specify section 5 preempt override any instruction direction agreement other understanding in pertain any grant award other prior communication Department Health Human Services any its component respect datum specify herein',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'further term this agreement be change only written modification this agreement party adopt new agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'party agree further that instruction interpretation issue user this agreement datum specify herein not be valid unless issue write CMS point-of-contact CMS signatory this agreement show section 20',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
3,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'party mutually agree that CMS retain all ownership rights datum file s refer to this agreement that user do not obtain any right title interest any datum furnish CMS',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
4,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user represent furnish datum file s specify section 5 CMS rely such representation that such datum file s be use solely follow purpose s',no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,unknown
'name study project',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'CMS Contract no. if applicable',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user represent further that fact statement make any study research protocol project plan submit CMS for each purpose purpose be complete accurate',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'further user represent that say study protocol s project plan that have be approve CMS other appropriate entity as CMS determine represent total use s which datum file s specify section 5 be put',no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,unknown
'user agree not to disclose use reuse datum cover this agreement except as specify attachment this agreement as CMS CMS authorize write as otherwise require law sell rent lease loan or otherwise grant access datum cover this agreement',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'user affirm that request datum be minimum necessary to achieve purpose state this section',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user agree that user organization organization its agent access datum cover this agreement be limit minimum amount datum minimum number individual necessary to achieve purpose state this section i.e. individual access datum be need-to-know basis',no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,unknown
5,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'follow CMS datum file file s be be cover this agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'file year s system Record',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
6,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'party mutually agree that aforesaid file s possibly possibly any derivative file s those file that directly identify individual that directly identify bidding firm possibly possibly such firm proprietary confidential individual be retain user until hereinafter know Retention Date',no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'user agree to notify CMS 30 day completion purpose specify section 4 if purpose be complete aforementioned retention date',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'such notice retention date whichever occur sooner user agree to destroy such datum',no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'user agree to destroy send write certification destruction file CMS 30 day',no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'user agree not to retain CMS file any part thereof specific bidding information those file that be use concert other information to identify aforementioned file s be destroy unless appropriate Systems Manager person designate section 20 this agreement grant write authorization',no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'user acknowledge that date be not contingent action CMS',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,unknown
'agreement be terminate either party any time any reason 30 day write notice',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'notice termination user CMS CMS cease release datum file s user this agreement notify user to destroy such datum file s',no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'section 3 4 6 8 9 10 11 13 14 15 survive termination this agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
7,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user agree to establish appropriate administrative technical physical safeguard to protect confidentiality datum to prevent unauthorized use access it',no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,unknown
