@relation unknown

@attribute sentence string
@attribute NER_DATE numeric
@attribute NER_DURATION numeric
@attribute NER_LOCATION numeric
@attribute NER_MISC numeric
@attribute NER_MONEY numeric
@attribute NER_NUMBER numeric
@attribute NER_ORDINAL numeric
@attribute NER_ORGANIZATION numeric
@attribute NER_PERCENT numeric
@attribute NER_PERSON numeric
@attribute NER_SET numeric
@attribute NER_TIME numeric
@attribute 'access control' {yes,no}
@attribute audit {yes,no}
@attribute availability {yes,no}
@attribute 'capacity and performance' {yes,no}
@attribute legal {yes,no}
@attribute 'look and feel' {yes,no}
@attribute maintainability {yes,no}
@attribute operational {yes,no}
@attribute privacy {yes,no}
@attribute reliability {yes,no}
@attribute recoverability {yes,no}
@attribute security {yes,no}
@attribute usability {yes,no}
@attribute 'other nonfunctional' {yes,no}
@attribute 'database design' {yes,no}
@attribute functional {yes,no}
@attribute documentID string

@data
'North Carolina Division of Public Health',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Data Use Agreement',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'(Revised 2 or 3 or 2010)',1,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'This Data Use Agreement (“DUA”) is effective on the ____ day of ________, 20__, (“Effective Date”) by and between _',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'NC Division of Public Health_____________               (“Data Custodian”), and ______________________________________________ (“Recipient”), located at _____________________________________________ collectively hereinafter referred to as the “Parties”.',0,0,0,1,0,1,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The Division of Public Health is providing the Recipient with a Limited Data Set of Protected Health Information (“PHI”), as defined in 45 Code of Federal Regulations (CFR) §164.514(e)(2).',0,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'The North Carolina Division of Public Health, Epidemiology Section (“Data Custodian”) is not a Covered Component within the North Carolina Division of Health and Human Services (as defined in the Health Insurance Portability and Accountability Act of 1996.)',1,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The Recipient may be a covered entity as defined by HIPAA.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'However, this DUA shall not be construed as creating HIPAA liabilities for the Data Custodian or Recipient if HIPAA is not applicable to the data use and disclosure provided for under this agreement.',0,0,0,1,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'The Parties agree to the provisions of this DUA in order to address the requirements of HIPAA and to protect the interest of both Parties.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
