@relation unknown

@attribute sentence string
@attribute 'access control' {yes,no}
@attribute audit {yes,no}
@attribute availability {yes,no}
@attribute 'capacity and performance' {yes,no}
@attribute legal {yes,no}
@attribute 'look and feel' {yes,no}
@attribute maintainability {yes,no}
@attribute operational {yes,no}
@attribute privacy {yes,no}
@attribute reliability {yes,no}
@attribute recoverability {yes,no}
@attribute security {yes,no}
@attribute usability {yes,no}
@attribute 'other nonfunctional' {yes,no}
@attribute 'database design' {yes,no}
@attribute functional {yes,no}
@attribute documentID string

@data
'North Carolina Division Public Health',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Data Use Agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Revised 2 3 2010',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'This Data Use Agreement DUA is effective ____ day ________ 20 __ Effective Date _',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'NC Division Public Health _____________ Data Custodian ______________________________________________ Recipient located _____________________________________________ collectively hereinafter referred as Parties',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Division Public Health is providing Recipient Limited Data Set Protected Health Information PHI as defined 45 Code Federal Regulations CFR § 164.514 e 2',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'North Carolina Division Public Health Epidemiology Section Data Custodian is not Covered Component North Carolina Division Health Human Services as defined Health Insurance Portability Accountability Act 1996',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient be covered entity as defined HIPAA',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'However this DUA not be construed creating HIPAA liabilities Data Custodian Recipient if HIPAA is not applicable data use disclosure provided for under this agreement',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Parties agree provisions this DUA in order to address requirements HIPAA to protect interest of both Parties',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
DEFINITIONS,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Except as otherwise defined herein any all capitalized terms this DUA have definitions set forth HIPAA',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'event any inconsistency provisions this DUA mandatory provisions HIPAA amended HIPAA provision control',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Where provisions provisions this DUA are different those provided HIPAA are permitted HIPAA provisions this DUA control',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'USE OR DISCLOSURE',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Data Recipient have right to use all Individually Identifiable Health Information IIHI provided to it Data Custodian Research Public Health Health Care Operations purposes as listed below be brief use as much space as necessary',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
PURPOSE,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'PUBLIC HEALTH SIGNIFIGANCE',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'RESULTS PROJECT BE USED FOR',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA REQUESTED',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'TIME PERIOD',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA DESCRIPTION',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
VARIABLES,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'ESTIMATED STUDY COMPLETION DATE',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
3,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'RESTRICTIONS USE',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient agrees that it it any employees agents subcontractors whom it discloses IIHI not use further disclose IIHI other as permitted this DUA as otherwise required law regulation',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'Data Recipient use appropriate safeguards to protect IIHI misuse inappropriate disclosure to prevent any use disclosure IIHI other as provided this DUA as otherwise required law regulation',yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,unknown
'Recipient not attempt to identify individuals whom IIHI pertains attempt to contact such individuals',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
4,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
REPORTING,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient report Data Custodian any use disclosure IIHI that is not provided for this DUA which Recipient becomes aware',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient take reasonable steps to limit any further such use disclosure',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient send Data Oversight Committee DPH NC DETECT team copy any publications possibly possibly presentations that have been derived NC DETECT data at least two weeks presentation publication to insure that institutional personal confidentiality is maintained',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'All data presented publications possibly possibly presentations be presented aggregate form only manner which individual not be identified addition hospital names not be disclosed',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
