@relation unknown

@attribute sentence string
@attribute 'access control' {yes,no}
@attribute audit {yes,no}
@attribute availability {yes,no}
@attribute 'capacity and performance' {yes,no}
@attribute legal {yes,no}
@attribute 'look and feel' {yes,no}
@attribute maintainability {yes,no}
@attribute operational {yes,no}
@attribute privacy {yes,no}
@attribute reliability {yes,no}
@attribute recoverability {yes,no}
@attribute security {yes,no}
@attribute usability {yes,no}
@attribute 'other nonfunctional' {yes,no}
@attribute 'database design' {yes,no}
@attribute functional {yes,no}
@attribute documentID string

@data
'North Carolina Divis Public Health',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Data Use Agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Revis 2 3 2010',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Thi Data Use Agreement DUA is effect ____ dai ________ 20 __ Effectiv Date _',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'NC Divis Public Health _____________ Data Custodian ______________________________________________ Recipi locat _____________________________________________ collect hereinaft refer as Parti',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Divis Public Health is provid Recipi Limit Data Set Protect Health Informat PHI as defin 45 Code Feder Regul CFR § 164.514 e 2',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'North Carolina Divis Public Health Epidemiolog Section Data Custodian is not Cover Compon North Carolina Divis Health Human Servic as defin Health Insuranc Portabl Accountabl Act 1996',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipi be cover entiti as defin HIPAA',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Howev thi DUA not be constru creat HIPAA liabil Data Custodian Recipi if HIPAA is not applic data us disclosur provid for under thi agreement',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Parti agre provis thi DUA in order to address requir HIPAA to protect interest of both Parti',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
DEFINITIONS,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Except as otherwis defin herein ani all capit term thi DUA have definit set forth HIPAA',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'event ani inconsist provis thi DUA mandatori provis HIPAA amend HIPAA provis control',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Where provis provis thi DUA ar differ those provid HIPAA ar permit HIPAA provis thi DUA control',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'USE OR DISCLOSURE',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Data Recipi have right to us all Individu Identifi Health Informat IIHI provid to it Data Custodian Research Public Health Health Care Operat purpos as list below be brief us as much space as necessari',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
PURPOSE,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'PUBLIC HEALTH SIGNIFIGANCE',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'RESULTS PROJECT BE USED FOR',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA REQUESTED',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'TIME PERIOD',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA DESCRIPTION',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
VARIABLES,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'ESTIMATED STUDY COMPLETION DATE',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
3,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'RESTRICTIONS USE',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipi agre that it it ani employe agent subcontractor whom it disclos IIHI not us further disclos IIHI other as permit thi DUA as otherwis requir law regul',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'Data Recipi us appropri safeguard to protect IIHI misus inappropri disclosur to prevent ani us disclosur IIHI other as provid thi DUA as otherwis requir law regul',yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,unknown
'Recipi not attempt to identifi individu whom IIHI pertain attempt to contact such individu',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
4,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
REPORTING,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipi report Data Custodian ani us disclosur IIHI that is not provid for thi DUA which Recipi becom awar',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipi take reason step to limit ani further such us disclosur',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipi send Data Oversight Committe DPH NC DETECT team copi ani public possibl possibl present that have been deriv NC DETECT data at least two week present public to insur that institut person confidenti is maintain',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'All data present public possibl possibl present be present aggreg form onli manner which individu not be identifi addit hospit name not be disclos',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'oral written present public sourc data be attribut NC Public Health Data Group NC DETECT',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Materi includ follow disclaim NC Public Health Data Group NC DETECT do not take respons scientif valid accuraci methodolog result statist analys conclus present',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
5,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'TERM AND TERMINATION',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DUA Termin Date ____________________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'a Term',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Term Term thi DUA be effect date first written abov termin when all PHI PHI provid Data Custodian Recipi is destroi return Data Custodian if it is infeas to return destroi IIHI protect ar extend such inform termin provis thi Section',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'b Termin Caus',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipi commit materi breach thi DUA which is not cure thirti 30 dai after Recipi receiv notic such breach Data Custodian then Data Custodian Custodian discontinu disclosur IIHI report problem Secretari U. S. Depart Health Human Servic',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'c Effect Termin',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'i. Except as provid provid paragraph ii thi subsect ten 10 dai termin thi DUA Recipi return destroi all IIHI receiv Data Custodian',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Thi provis appli IIHI that is possess subcontractor agent Data Recipi',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipi retain no copi IIHI',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
ii,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'event that Recipi determin that return destroi IIHI is infeas Recipi provid Data Custodian notif condit that make return destruct infeas',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'mutual agreement Parti that return destruct IIHI is infeas Data Recipi extend protect thi DUA such IIHI limit further us disclosur such IIHI those purpos that make return destruct infeas so long as Recipi maintain IIHI',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA CUSTODIAN NC DPH RECIPIENT',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________ _________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Date Date',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________ _________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Signatur Signatur',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________ _________________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Print Name Print Name',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
2,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Initial ___________________________',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Form CMS-R-0235 06 10',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DEPARTMENT HEALTH HUMAN SERVICES CENTERS MEDICARE MEDICAID SERVICES',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Form Approve OMB No. 0938-0734',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA USE AGREEMENT',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DUA #',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'AGREEMENT USE CENTERS MEDICARE MEDICAID SERVICES CMS DATA CONTAINING INDIVIDUAL IDENTIFIERS',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'CMS agre to provid User data that resid CMS Privaci Act System Record as identifi thi Agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
